path	duration_seconds	estimated_bpm	status
bad_audio_review/clipped/drums_no_copyright_music_drum_breaks_collection_q68zfjua_is.wav	143.93	unknown	unknown
exports/dusty_drums_MPC_EXPORT/Chops/slice_03n001.wav	5.58	unknown	missing_file
exports/dusty_drums_MPC_EXPORT/Chops/slice_03n002.wav	0.34	unknown	missing_file
exports/dusty_drums_MPC_EXPORT/Chops/slice_03n003.wav	0.33	unknown	missing_file
exports/dusty_drums_MPC_EXPORT/Chops/slice_03n004.wav	0.34	unknown	missing_file
exports/dusty_drums_MPC_EXPORT/Chops/slice_03n005.wav	0.33	unknown	missing_file
exports/dusty_drums_MPC_EXPORT/Chops/slice_03n006.wav	0.34	unknown	missing_file
exports/dusty_drums_MPC_EXPORT/Chops/slice_03n007.wav	0.33	unknown	missing_file
exports/dusty_drums_MPC_EXPORT/Chops/slice_03n008.wav	0.32	unknown	missing_file
exports/dusty_drums_MPC_EXPORT/Chops/slice_03n009.wav	0.42	unknown	missing_file
exports/dusty_drums_MPC_EXPORT/Chops/slice_03n010.wav	2.02	unknown	missing_file
exports/dusty_drums_MPC_EXPORT/Chops/slice_03n011.wav	8.02	unknown	missing_file
exports/dusty_drums_MPC_EXPORT/Chops/slice_03n012.wav	3.89	unknown	missing_file
exports/dusty_drums_MPC_EXPORT/Chops/slice_03n013.wav	3.78	unknown	missing_file
exports/dusty_drums_MPC_EXPORT/Chops/slice_03n014.wav	3.80	unknown	missing_file
exports/dusty_drums_MPC_EXPORT/Chops/slice_03n015.wav	0.16	unknown	missing_file
exports/dusty_drums_MPC_EXPORT/Chops/slice_03n016.wav	0.15	unknown	missing_file
exports/dusty_drums_MPC_EXPORT/Chops/slice_03n017.wav	0.16	unknown	missing_file
exports/dusty_drums_MPC_EXPORT/Chops/slice_03n018.wav	0.15	unknown	missing_file
exports/dusty_drums_MPC_EXPORT/Chops/slice_03n019.wav	0.16	unknown	missing_file
exports/dusty_drums_MPC_EXPORT/Chops/slice_03n020.wav	0.16	unknown	missing_file
exports/dusty_drums_MPC_EXPORT/Chops/slice_03n021.wav	0.16	unknown	missing_file
exports/dusty_drums_MPC_EXPORT/Chops/slice_03n022.wav	0.15	unknown	missing_file
exports/dusty_drums_MPC_EXPORT/Chops/slice_03n023.wav	0.30	unknown	missing_file
exports/dusty_drums_MPC_EXPORT/Chops/slice_03n024.wav	0.77	unknown	missing_file
